genus,host_species,host_species_md,coral_uid,mean_trap,mean_alph,n_observations
Stylophora,Stylophora pistillata,*Stylophora pistillata*,13Sp1_control_unified,0.625,0,16
Stylophora,Stylophora pistillata,*Stylophora pistillata*,13Sp2_control_unified,1.1176470588235294,0,17
Stylophora,Stylophora pistillata,*Stylophora pistillata*,14Sp1_control_unified,0.631578947368421,0,19
Stylophora,Stylophora pistillata,*Stylophora pistillata*,14Sp2_control_unified,1.52,0,25
Stylophora,Stylophora pistillata,*Stylophora pistillata*,14Sp3_control_unified,1.5294117647058822,0,17
Stylophora,Stylophora pistillata,*Stylophora pistillata*,14Sp4_control_unified,1.6842105263157894,0.6315789473684209,19
Stylophora,Stylophora pistillata,*Stylophora pistillata*,14Sp5_control_unified,1.2,0,25
Stylophora,Stylophora pistillata,*Stylophora pistillata*,14Sp6_control_unified,0.9166666666666667,0,12
Stylophora,Stylophora pistillata,*Stylophora pistillata*,14Sp7_control_unified,0.7857142857142858,0,14
Stylophora,Stylophora pistillata,*Stylophora pistillata*,1Sp1_control_unified,1.9130434782608696,0.08695652173913047,23
Stylophora,Stylophora pistillata,*Stylophora pistillata*,1Sp10_control_unified,1.64,0.03999999999999999,25
Stylophora,Stylophora pistillata,*Stylophora pistillata*,1Sp2_control_unified,1.5,0,18
Stylophora,Stylophora pistillata,*Stylophora pistillata*,1Sp3_control_unified,0.23076923076923075,0,13
Stylophora,Stylophora pistillata,*Stylophora pistillata*,1Sp4_control_unified,1.0666666666666669,0,15
Stylophora,Stylophora pistillata,*Stylophora pistillata*,1Sp5_control_unified,0.6956521739130436,0.04347826086956523,23
Stylophora,Stylophora pistillata,*Stylophora pistillata*,1Sp6_control_unified,1.25,0,8
Stylophora,Stylophora pistillata,*Stylophora pistillata*,1Sp7_control_unified,1.3636363636363638,0.27272727272727276,22
Stylophora,Stylophora pistillata,*Stylophora pistillata*,1Sp8_control_unified,1.2173913043478262,0,23
Stylophora,Stylophora pistillata,*Stylophora pistillata*,1Sp9_control_unified,1.4444444444444444,0,18
Stylophora,Stylophora pistillata,*Stylophora pistillata*,5Sp1_control_unified,1.7600000000000002,0,25
Stylophora,Stylophora pistillata,*Stylophora pistillata*,5Sp2_control_unified,2.2105263157894735,0.052631578947368446,19
Stylophora,Stylophora pistillata,*Stylophora pistillata*,6Sp2_control_unified,1.4705882352941178,0,17
Stylophora,Stylophora pistillata,*Stylophora pistillata*,6Sp3_control_unified,1.5,0,18
Stylophora,Stylophora pistillata,*Stylophora pistillata*,6Sp4_control_unified,1.2916666666666665,0,24
Stylophora,Stylophora pistillata,*Stylophora pistillata*,6Sp5_control_unified,1.6956521739130435,0,23
Stylophora,Stylophora pistillata,*Stylophora pistillata*,7Sp1_control_unified,1.434782608695652,0,23
Stylophora,Stylophora pistillata,*Stylophora pistillata*,8Sp1_control_unified,1.35,0,20
Stylophora,Stylophora pistillata,*Stylophora pistillata*,8Sp2_control_unified,1.1,0.1,10
Stylophora,Stylophora pistillata,*Stylophora pistillata*,8Sp3_control_unified,1.4,0,10
Stylophora,Stylophora pistillata,*Stylophora pistillata*,8Sp4_control_unified,0.33333333333333337,0,6
Stylophora,Stylophora pistillata,*Stylophora pistillata*,8Sp5_control_unified,0.18181818181818177,0,11
Stylophora,Stylophora pistillata,*Stylophora pistillata*,8Sp6_control_unified,0.6875,0,16
Stylophora,Stylophora pistillata,*Stylophora pistillata*,8Sp7_control_unified,1.2399999999999998,0,25
