species,species_md,coral_uid,taxon,metric,value,host_species,host_species_md
Pocillopora favosa,*Pocillopora favosa*,12Pd3_control_unified,trapezia,Mean abundance,1.16,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,12Pd3_control_unified,trapezia,Intensity,1.8125,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,12Pd4_control_unified,alpheus,Occurrence,0.12,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,12Pd4_control_unified,alpheus,Mean abundance,0.23999999999999988,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,12Pd4_control_unified,alpheus,Intensity,2,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,12Pd4_control_unified,trapezia,Occurrence,0.88,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,12Pd4_control_unified,trapezia,Mean abundance,1.6,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,12Pd4_control_unified,trapezia,Intensity,1.8181818181818181,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,12Pd5_control_unified,alpheus,Occurrence,0.43478260869565216,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,12Pd5_control_unified,alpheus,Mean abundance,0.6956521739130436,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,12Pd5_control_unified,alpheus,Intensity,1.6,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,12Pd5_control_unified,trapezia,Occurrence,0.6521739130434783,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,12Pd5_control_unified,trapezia,Mean abundance,1.2173913043478262,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,12Pd5_control_unified,trapezia,Intensity,1.8666666666666667,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,12Pd6_control_unified,alpheus,Occurrence,0.7368421052631579,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,12Pd6_control_unified,alpheus,Mean abundance,1.6842105263157894,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,12Pd6_control_unified,alpheus,Intensity,2.2857142857142856,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,12Pd6_control_unified,trapezia,Occurrence,0.8947368421052632,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,12Pd6_control_unified,trapezia,Mean abundance,2.526315789473684,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,12Pd6_control_unified,trapezia,Intensity,2.823529411764706,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,12Pd7_control_unified,alpheus,Occurrence,0.1,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,12Pd7_control_unified,alpheus,Mean abundance,0.10000000000000002,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,12Pd7_control_unified,alpheus,Intensity,1,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,12Pd7_control_unified,trapezia,Occurrence,1,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,12Pd7_control_unified,trapezia,Mean abundance,1.7,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,12Pd7_control_unified,trapezia,Intensity,1.7,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,13Pd1_control_unified,alpheus,Occurrence,0,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,13Pd1_control_unified,alpheus,Mean abundance,0,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,13Pd1_control_unified,alpheus,Intensity,NA,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,13Pd1_control_unified,trapezia,Occurrence,0,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,13Pd1_control_unified,trapezia,Mean abundance,0,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,13Pd1_control_unified,trapezia,Intensity,NA,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,13Pd2_control_unified,alpheus,Occurrence,0,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,13Pd2_control_unified,alpheus,Mean abundance,0,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,13Pd2_control_unified,alpheus,Intensity,NA,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,13Pd2_control_unified,trapezia,Occurrence,0,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,13Pd2_control_unified,trapezia,Mean abundance,0,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,13Pd2_control_unified,trapezia,Intensity,NA,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,14Pd1_control_unified,alpheus,Occurrence,0.24,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,14Pd1_control_unified,alpheus,Mean abundance,0.47999999999999976,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,14Pd1_control_unified,alpheus,Intensity,2,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,14Pd1_control_unified,trapezia,Occurrence,0.76,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,14Pd1_control_unified,trapezia,Mean abundance,1.48,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,14Pd1_control_unified,trapezia,Intensity,1.9473684210526316,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,14Pd2_control_unified,alpheus,Occurrence,0.28,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,14Pd2_control_unified,alpheus,Mean abundance,0.5599999999999997,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,14Pd2_control_unified,alpheus,Intensity,2,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,14Pd2_control_unified,trapezia,Occurrence,0.64,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,14Pd2_control_unified,trapezia,Mean abundance,1.2,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,14Pd2_control_unified,trapezia,Intensity,1.875,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,14Pd3_control_unified,alpheus,Occurrence,0,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,14Pd3_control_unified,alpheus,Mean abundance,0,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,14Pd3_control_unified,alpheus,Intensity,NA,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,14Pd3_control_unified,trapezia,Occurrence,0.3333333333333333,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,14Pd3_control_unified,trapezia,Mean abundance,0.6666666666666667,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,14Pd3_control_unified,trapezia,Intensity,2,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,14Pd4_control_unified,alpheus,Occurrence,0.05263157894736842,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,14Pd4_control_unified,alpheus,Mean abundance,0.10526315789473686,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,14Pd4_control_unified,alpheus,Intensity,2,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,14Pd4_control_unified,trapezia,Occurrence,0.8421052631578947,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,14Pd4_control_unified,trapezia,Mean abundance,1.631578947368421,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,14Pd4_control_unified,trapezia,Intensity,1.9375,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,14Pd5_control_unified,alpheus,Occurrence,0.17391304347826086,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,14Pd5_control_unified,alpheus,Mean abundance,0.34782608695652184,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,14Pd5_control_unified,alpheus,Intensity,2,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,14Pd5_control_unified,trapezia,Occurrence,0.8260869565217391,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,14Pd5_control_unified,trapezia,Mean abundance,1.4782608695652175,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,14Pd5_control_unified,trapezia,Intensity,1.7894736842105263,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,1Pd10_control_unified,alpheus,Occurrence,0.04,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,1Pd10_control_unified,alpheus,Mean abundance,0.07999999999999997,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,1Pd10_control_unified,alpheus,Intensity,2,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,1Pd10_control_unified,trapezia,Occurrence,0.6,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,1Pd10_control_unified,trapezia,Mean abundance,1.2,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,1Pd10_control_unified,trapezia,Intensity,2,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,1Pd1_control_unified,alpheus,Occurrence,0.28,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,1Pd1_control_unified,alpheus,Mean abundance,0.5200000000000001,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,1Pd1_control_unified,alpheus,Intensity,1.8571428571428572,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,1Pd1_control_unified,trapezia,Occurrence,0.84,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,1Pd1_control_unified,trapezia,Mean abundance,1.6400000000000001,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,1Pd1_control_unified,trapezia,Intensity,1.9523809523809523,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,1Pd2_control_unified,alpheus,Occurrence,0.05555555555555555,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,1Pd2_control_unified,alpheus,Mean abundance,0.05555555555555554,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,1Pd2_control_unified,alpheus,Intensity,1,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,1Pd2_control_unified,trapezia,Occurrence,0.7222222222222222,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,1Pd2_control_unified,trapezia,Mean abundance,1.1666666666666665,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,1Pd2_control_unified,trapezia,Intensity,1.6153846153846154,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,1Pd3_control_unified,alpheus,Occurrence,0,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,1Pd3_control_unified,alpheus,Mean abundance,0,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,1Pd3_control_unified,alpheus,Intensity,NA,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,1Pd3_control_unified,trapezia,Occurrence,0.4782608695652174,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,1Pd3_control_unified,trapezia,Mean abundance,0.9130434782608695,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,1Pd3_control_unified,trapezia,Intensity,1.9090909090909092,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,1Pd4_control_unified,alpheus,Occurrence,0,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,1Pd4_control_unified,alpheus,Mean abundance,0,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,1Pd4_control_unified,alpheus,Intensity,NA,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,1Pd4_control_unified,trapezia,Occurrence,0.16,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,1Pd4_control_unified,trapezia,Mean abundance,0.16,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,1Pd4_control_unified,trapezia,Intensity,1,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,1Pd5_control_unified,alpheus,Occurrence,0.72,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,1Pd5_control_unified,alpheus,Mean abundance,1.84,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,1Pd5_control_unified,alpheus,Intensity,2.5555555555555554,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,1Pd5_control_unified,trapezia,Occurrence,0.8,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,1Pd5_control_unified,trapezia,Mean abundance,2.52,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,1Pd5_control_unified,trapezia,Intensity,3.15,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,1Pd6_control_unified,alpheus,Occurrence,0.391304347826087,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,1Pd6_control_unified,alpheus,Mean abundance,1.2173913043478262,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,1Pd6_control_unified,alpheus,Intensity,3.111111111111111,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,1Pd6_control_unified,trapezia,Occurrence,0.5652173913043478,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,1Pd6_control_unified,trapezia,Mean abundance,2.260869565217391,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,1Pd6_control_unified,trapezia,Intensity,4,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,1Pd7_control_unified,alpheus,Occurrence,0.045454545454545456,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,1Pd7_control_unified,alpheus,Mean abundance,0.04545454545454547,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,1Pd7_control_unified,alpheus,Intensity,1,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,1Pd7_control_unified,trapezia,Occurrence,0.5,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,1Pd7_control_unified,trapezia,Mean abundance,1.0454545454545456,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,1Pd7_control_unified,trapezia,Intensity,2.090909090909091,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,1Pd8_control_unified,alpheus,Occurrence,0.08695652173913043,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,1Pd8_control_unified,alpheus,Mean abundance,0.17391304347826092,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,1Pd8_control_unified,alpheus,Intensity,2,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,1Pd8_control_unified,trapezia,Occurrence,0.5217391304347826,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,1Pd8_control_unified,trapezia,Mean abundance,1.1304347826086958,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,1Pd8_control_unified,trapezia,Intensity,2.1666666666666665,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,1Pd9_control_unified,alpheus,Occurrence,0.34782608695652173,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,1Pd9_control_unified,alpheus,Mean abundance,0.5652173913043479,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,1Pd9_control_unified,alpheus,Intensity,1.625,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,1Pd9_control_unified,trapezia,Occurrence,0.8260869565217391,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,1Pd9_control_unified,trapezia,Mean abundance,1.6956521739130435,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,1Pd9_control_unified,trapezia,Intensity,2.0526315789473686,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,5Pd1_control_unified,alpheus,Occurrence,0,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,5Pd1_control_unified,alpheus,Mean abundance,0,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,5Pd1_control_unified,alpheus,Intensity,NA,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,5Pd1_control_unified,trapezia,Occurrence,0.29411764705882354,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,5Pd1_control_unified,trapezia,Mean abundance,0.411764705882353,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,5Pd1_control_unified,trapezia,Intensity,1.4,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,5Pd2_control_unified,alpheus,Occurrence,0.17647058823529413,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,5Pd2_control_unified,alpheus,Mean abundance,0.29411764705882354,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,5Pd2_control_unified,alpheus,Intensity,1.6666666666666667,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,5Pd2_control_unified,trapezia,Occurrence,0.7647058823529411,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,5Pd2_control_unified,trapezia,Mean abundance,1.3529411764705883,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,5Pd2_control_unified,trapezia,Intensity,1.7692307692307692,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,6Pd1_control_unified,alpheus,Occurrence,0.32,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,6Pd1_control_unified,alpheus,Mean abundance,1,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,6Pd1_control_unified,alpheus,Intensity,3.125,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,6Pd1_control_unified,trapezia,Occurrence,0.52,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,6Pd1_control_unified,trapezia,Mean abundance,2.24,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,6Pd1_control_unified,trapezia,Intensity,4.307692307692308,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,6Pd2_control_unified,alpheus,Occurrence,0.5789473684210527,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,6Pd2_control_unified,alpheus,Mean abundance,2.2105263157894735,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,6Pd2_control_unified,alpheus,Intensity,3.8181818181818183,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,6Pd2_control_unified,trapezia,Occurrence,0.6842105263157895,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,6Pd2_control_unified,trapezia,Mean abundance,3.4736842105263155,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,6Pd2_control_unified,trapezia,Intensity,5.076923076923077,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,6Pd3_control_unified,alpheus,Occurrence,0.7391304347826086,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,6Pd3_control_unified,alpheus,Mean abundance,2.391304347826087,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,6Pd3_control_unified,alpheus,Intensity,3.235294117647059,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,6Pd3_control_unified,trapezia,Occurrence,0.782608695652174,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,6Pd3_control_unified,trapezia,Mean abundance,3.5652173913043477,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,6Pd3_control_unified,trapezia,Intensity,4.555555555555555,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,6Pd4_control_unified,alpheus,Occurrence,0.2608695652173913,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,6Pd4_control_unified,alpheus,Mean abundance,0.391304347826087,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,6Pd4_control_unified,alpheus,Intensity,1.5,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,6Pd4_control_unified,trapezia,Occurrence,0.391304347826087,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,6Pd4_control_unified,trapezia,Mean abundance,0.6956521739130435,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,6Pd4_control_unified,trapezia,Intensity,1.7777777777777777,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,7Pd1_control_unified,alpheus,Occurrence,0.5652173913043478,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,7Pd1_control_unified,alpheus,Mean abundance,1.8695652173913042,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,7Pd1_control_unified,alpheus,Intensity,3.3076923076923075,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,7Pd1_control_unified,trapezia,Occurrence,0.6521739130434783,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,7Pd1_control_unified,trapezia,Mean abundance,3.130434782608696,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,7Pd1_control_unified,trapezia,Intensity,4.8,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,8Pd1_control_unified,alpheus,Occurrence,0.12,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,8Pd1_control_unified,alpheus,Mean abundance,0.16,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,8Pd1_control_unified,alpheus,Intensity,1.3333333333333333,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,8Pd1_control_unified,trapezia,Occurrence,0.92,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,8Pd1_control_unified,trapezia,Mean abundance,1.76,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,8Pd1_control_unified,trapezia,Intensity,1.9130434782608696,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,8Pd2_control_unified,alpheus,Occurrence,0.04,Pocillopora favosa,*Pocillopora favosa*
